study,group,tissue,gene1,gene2,is_marker
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,SLC35E2B,8,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,SPSB1,5,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,SRM,4,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,SSU72,4,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,TARDBP,6,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,TNFRSF14,6,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,TP73-AS1,7,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,TPRG1L,7,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,UBE4B,8,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,VAMP3,5,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,VPS13D,6,no
HCA.human_normal.AtlasOfHumanIntervertebralDisc,normal,Bone,VWA1,3,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,ACAP3,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,AL139246.3,6,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,AL139246.5,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,AL391244.1,7,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,AL590128.1,5,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,AL645728.1,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,ATAD3A,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,ATAD3B,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,ATAD3C,7,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,AURKAIP1,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,C1orf174,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,CAMTA1,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,CCNL2,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,CDK11A,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,CDK11B,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,CEP104,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,CLSTN1,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,CPTP,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,CTNNBIP1,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,DFFA,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,DFFB,7,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,DNAJC11,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,ENO1,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,EXOSC10,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,FAAP20,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,FAM213B,7,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,FBXO2,7,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,FBXO44,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,GNB1,7,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,ICMT,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,INTS11,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,ISG15,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,KCNAB2,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,KIF1B,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,KLHL21,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,LINC01128,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,LRRC47,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,MIB2,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,MRPL20,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,MTATP6P1,7,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,MTCO1P12,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,MTCO2P12,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,MTND1P23,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,MTND2P28,3,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,MTOR,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,NADK,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,NOC2L,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,NOL9,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,PANK4,6,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,PARK7,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,PEX14,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,PGD,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,PHF13,7,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,PIK3CD-AS2,7,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,PRKCZ,7,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,PUSL1,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,RER1,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,RERE,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,RNF207,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,RPL22,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,RPL39P6,7,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,SDF4,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,SKI,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,SLC25A33,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,SLC35E2B,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,SMIM1,7,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,SRM,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,SSU72,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,TARDBP,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,TAS1R3,7,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,THAP3,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,TMEM52,7,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,TNFRSF14,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,TNFRSF14-AS1,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,TNFRSF18,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,TNFRSF25,7,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,TNFRSF4,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,TP73-AS1,7,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,TPRG1L,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,UBE2J2,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,UBE4B,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,UBIAD1,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,VAMP3,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Colon,WRAP73,8,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,AL139246.5,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,AL391244.1,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,AL450998.1,2,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,AL645728.1,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,AL691432.2,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,AURKAIP1,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,BX284668.5,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,C1orf174,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,CAMTA1,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,CASP9,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,CCNL2,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,CDK11A,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,CEP104,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,CLCN6,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,CLSTN1,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,CROCCP2,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,CTNNBIP1,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,DFFA,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,DNAJC11,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,DNAJC16,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,ENO1,2,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,EXOSC10,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,FAAP20,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,FBXO2,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,FBXO42,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,FBXO44,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,FLJ37453,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,GNB1,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,INTS11,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,KCNAB2,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,KIAA2013,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,LINC01128,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,LRRC47,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,LZIC,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,MAD2L2,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,MFN2,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,MIB2,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,MIIP,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,MRPL20,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,MRTO4,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,MTCO1P12,2,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,MTCO2P12,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,MTCO3P12,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,MTHFR,3,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,NADK,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,NECAP2,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,NOC2L,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,PARK7,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,PIK3CD,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,PLEKHM2,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,PRDM2,3,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,RCC2,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,RER1,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,RERE,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,RNU5E-4P,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,RPL12P14,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,SDF4,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,SDHB,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,SKI,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,SLC35E2B,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,SPEN,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,SPSB1,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,SRM,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,SSU72,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,SZRD1,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,TARDBP,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,TNFRSF14,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,TNFRSF14-AS1,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,TNFRSF1B,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,UBE2J2,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,UBE4B,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,UBIAD1,4,no
HCA.human_normal.ColonImmune10XSS2VDJ,normal,Lymph,VAMP3,4,no
HCA.human_normal.TissueStability,normal,Esophagus,ATP5F1,3,no
HCA.human_normal.TissueStability,normal,Esophagus,ATPIF1,2,no
HCA.human_normal.TissueStability,normal,Esophagus,AURKAIP1,2,no
HCA.human_normal.TissueStability,normal,Esophagus,CAPZA1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,CDA,1,no
HCA.human_normal.TissueStability,normal,Esophagus,CDC42,3,no
HCA.human_normal.TissueStability,normal,Esophagus,CLCA4,2,no
HCA.human_normal.TissueStability,normal,Esophagus,CMPK1,2,no
HCA.human_normal.TissueStability,normal,Esophagus,CNN3,2,no
HCA.human_normal.TissueStability,normal,Esophagus,CRNN,2,no
HCA.human_normal.TissueStability,normal,Esophagus,CSDE1,2,no
HCA.human_normal.TissueStability,normal,Esophagus,CTNNBIP1,3,no
HCA.human_normal.TissueStability,normal,Esophagus,ECM1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,EFNA1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,EIF3I,3,no
HCA.human_normal.TissueStability,normal,Esophagus,ELOVL1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,ENSA,3,no
HCA.human_normal.TissueStability,normal,Esophagus,FAM46B,1,no
HCA.human_normal.TissueStability,normal,Esophagus,FDPS,2,no
HCA.human_normal.TissueStability,normal,Esophagus,GBP6,2,no
HCA.human_normal.TissueStability,normal,Esophagus,GNAI3,1,no
HCA.human_normal.TissueStability,normal,Esophagus,GNG5,3,no
HCA.human_normal.TissueStability,normal,Esophagus,GSTM3,1,no
HCA.human_normal.TissueStability,normal,Esophagus,HMGN2,2,no
HCA.human_normal.TissueStability,normal,Esophagus,ID3,2,no
HCA.human_normal.TissueStability,normal,Esophagus,IVL,2,no
HCA.human_normal.TissueStability,normal,Esophagus,JTB,3,no
HCA.human_normal.TissueStability,normal,Esophagus,JUN,3,no
HCA.human_normal.TissueStability,normal,Esophagus,MCL1,3,no
HCA.human_normal.TissueStability,normal,Esophagus,MRPL20,2,no
HCA.human_normal.TissueStability,normal,Esophagus,MRPS21,3,no
HCA.human_normal.TissueStability,normal,Esophagus,MTATP6P1,3,no
HCA.human_normal.TissueStability,normal,Esophagus,NDUFS5,2,no
HCA.human_normal.TissueStability,normal,Esophagus,PARK7,2,no
HCA.human_normal.TissueStability,normal,Esophagus,PGD,3,no
HCA.human_normal.TissueStability,normal,Esophagus,PMVK,1,no
HCA.human_normal.TissueStability,normal,Esophagus,RAB13,2,no
HCA.human_normal.TissueStability,normal,Esophagus,RAB25,3,no
HCA.human_normal.TissueStability,normal,Esophagus,RBM8A,2,no
HCA.human_normal.TissueStability,normal,Esophagus,RPL11,1,no
HCA.human_normal.TissueStability,normal,Esophagus,RPL7P9,2,no
HCA.human_normal.TissueStability,normal,Esophagus,RPS27,3,no
HCA.human_normal.TissueStability,normal,Esophagus,RPS8,2,no
HCA.human_normal.TissueStability,normal,Esophagus,S100A11,1,no
HCA.human_normal.TissueStability,normal,Esophagus,S100A12,2,no
HCA.human_normal.TissueStability,normal,Esophagus,S100A13,1,no
HCA.human_normal.TissueStability,normal,Esophagus,S100A14,1,no
HCA.human_normal.TissueStability,normal,Esophagus,S100A2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,S100A7,3,no
HCA.human_normal.TissueStability,normal,Esophagus,SCP2,2,no
HCA.human_normal.TissueStability,normal,Esophagus,SERBP1,3,no
HCA.human_normal.TissueStability,normal,Esophagus,SH3BGRL3,1,no
HCA.human_normal.TissueStability,normal,Esophagus,SLC2A1,3,no
HCA.human_normal.TissueStability,normal,Esophagus,SPRR1A,1,no
HCA.human_normal.TissueStability,normal,Esophagus,SPRR1B,2,no
HCA.human_normal.TissueStability,normal,Esophagus,SPRR2A,1,no
HCA.human_normal.TissueStability,normal,Esophagus,SPRR2B,2,no
HCA.human_normal.TissueStability,normal,Esophagus,SPRR2E,1,no
HCA.human_normal.TissueStability,normal,Esophagus,SSR2,3,no
HCA.human_normal.TissueStability,normal,Esophagus,TACSTD2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,TMEM59,3,no
HCA.human_normal.TissueStability,normal,Esophagus,TPM3,3,no
HCA.human_normal.TissueStability,normal,Esophagus,TRAPPC3,2,no
HCA.human_normal.TissueStability,normal,Esophagus,TXNIP,3,no
HCA.human_normal.TissueStability,normal,Esophagus,YBX1,3,no
HCA.human_normal.TissueStability,normal,Lung,ABL2,4,no
HCA.human_normal.TissueStability,normal,Lung,AKR1A1,3,no
HCA.human_normal.TissueStability,normal,Lung,AL031727.1,3,no
HCA.human_normal.TissueStability,normal,Lung,ARPC5,4,no
HCA.human_normal.TissueStability,normal,Lung,ATP6V0B,3,no
HCA.human_normal.TissueStability,normal,Lung,C1QA,3,no
HCA.human_normal.TissueStability,normal,Lung,C1QB,3,no
HCA.human_normal.TissueStability,normal,Lung,C1QC,1,no
HCA.human_normal.TissueStability,normal,Lung,CAP1,4,no
HCA.human_normal.TissueStability,normal,Lung,CAPZB,2,no
HCA.human_normal.TissueStability,normal,Lung,CD52,1,no
HCA.human_normal.TissueStability,normal,Lung,CD55,4,no
HCA.human_normal.TissueStability,normal,Lung,CDC42,4,no
HCA.human_normal.TissueStability,normal,Lung,CNN3,3,no
HCA.human_normal.TissueStability,normal,Lung,CYP1B1,3,no
HCA.human_normal.TissueStability,normal,Lung,EFEMP1,2,no
HCA.human_normal.TissueStability,normal,Lung,ENO1,3,no
HCA.human_normal.TissueStability,normal,Lung,FCGR2B,1,no
HCA.human_normal.TissueStability,normal,Lung,G0S2,4,no
HCA.human_normal.TissueStability,normal,Lung,GLUL,3,no
HCA.human_normal.TissueStability,normal,Lung,GUK1,3,no
HCA.human_normal.TissueStability,normal,Lung,HMGN2,1,no
HCA.human_normal.TissueStability,normal,Lung,ID2,4,no
HCA.human_normal.TissueStability,normal,Lung,ID3,4,no
HCA.human_normal.TissueStability,normal,Lung,IFI16,4,no
HCA.human_normal.TissueStability,normal,Lung,IFI6,3,no
HCA.human_normal.TissueStability,normal,Lung,ISG15,4,no
HCA.human_normal.TissueStability,normal,Lung,JTB,3,no
HCA.human_normal.TissueStability,normal,Lung,JUN,3,no
HCA.human_normal.TissueStability,normal,Lung,MARCKSL1,2,no
HCA.human_normal.TissueStability,normal,Lung,MCL1,4,no
HCA.human_normal.TissueStability,normal,Lung,MGST3,1,no
HCA.human_normal.TissueStability,normal,Lung,MINOS1,2,no
HCA.human_normal.TissueStability,normal,Lung,MTATP6P1,4,no
HCA.human_normal.TissueStability,normal,Lung,NBL1,3,no
HCA.human_normal.TissueStability,normal,Lung,NDUFS5,1,no
HCA.human_normal.TissueStability,normal,Lung,OST4,1,no
HCA.human_normal.TissueStability,normal,Lung,PARK7,2,no
HCA.human_normal.TissueStability,normal,Lung,PRDX6,2,no
HCA.human_normal.TissueStability,normal,Lung,RGS1,2,no
HCA.human_normal.TissueStability,normal,Lung,RGS2,2,no
HCA.human_normal.TissueStability,normal,Lung,RPL22,3,no
HCA.human_normal.TissueStability,normal,Lung,RPL5,2,no
HCA.human_normal.TissueStability,normal,Lung,RPL7P9,3,no
HCA.human_normal.TissueStability,normal,Lung,RPS13P2,3,no
HCA.human_normal.TissueStability,normal,Lung,RPS27,1,no
HCA.human_normal.TissueStability,normal,Lung,RPS27A,1,no
HCA.human_normal.TissueStability,normal,Lung,RPS7,3,no
HCA.human_normal.TissueStability,normal,Lung,RPS8,2,no
HCA.human_normal.TissueStability,normal,Lung,S100A10,3,no
HCA.human_normal.TissueStability,normal,Lung,S100A11,1,no
HCA.human_normal.TissueStability,normal,Lung,S100A9,2,no
HCA.human_normal.TissueStability,normal,Lung,SCP2,2,no
HCA.human_normal.TissueStability,normal,Lung,SH3BGRL3,1,no
HCA.human_normal.TissueStability,normal,Lung,STMN1,1,no
HCA.human_normal.TissueStability,normal,Lung,TAGLN2,2,no
HCA.human_normal.TissueStability,normal,Lung,TMEM59,4,no
HCA.human_normal.TissueStability,normal,Lung,TXNIP,3,no
HCA.human_normal.TissueStability,normal,Lung,UAP1,3,no
HCA.human_normal.TissueStability,normal,Lung,UQCRH,3,no
HCA.human_normal.TissueStability,normal,Lung,YBX1,1,no
HCA.human_normal.TissueStability,normal,Spleen,AC007969.1,1,no
HCA.human_normal.TissueStability,normal,Spleen,AC016739.1,1,no
HCA.human_normal.TissueStability,normal,Spleen,AC073861.1,1,no
HCA.human_normal.TissueStability,normal,Spleen,ARPC2,1,no
HCA.human_normal.TissueStability,normal,Spleen,ARPC5,1,no
HCA.human_normal.TissueStability,normal,Spleen,ATP5G3,1,no
HCA.human_normal.TissueStability,normal,Spleen,BTF3,1,no
HCA.human_normal.TissueStability,normal,Spleen,BTG2,1,no
HCA.human_normal.TissueStability,normal,Spleen,CACYBP,1,no
HCA.human_normal.TissueStability,normal,Spleen,CD52,1,no
HCA.human_normal.TissueStability,normal,Spleen,CDC42,1,no
HCA.human_normal.TissueStability,normal,Spleen,CMC1,1,no
HCA.human_normal.TissueStability,normal,Spleen,COX5B,1,no
HCA.human_normal.TissueStability,normal,Spleen,CXCR4,1,no
HCA.human_normal.TissueStability,normal,Spleen,DBI,1,no
HCA.human_normal.TissueStability,normal,Spleen,EEF1B2,1,no
HCA.human_normal.TissueStability,normal,Spleen,GAS5,1,no
HCA.human_normal.TissueStability,normal,Spleen,GZMA,1,no
HCA.human_normal.TissueStability,normal,Spleen,HMGB2,1,no
HCA.human_normal.TissueStability,normal,Spleen,HSPD1,1,no
HCA.human_normal.TissueStability,normal,Spleen,HSPE1,1,no
HCA.human_normal.TissueStability,normal,Spleen,ID2,1,no
HCA.human_normal.TissueStability,normal,Spleen,IGKC,1,no
HCA.human_normal.TissueStability,normal,Spleen,JCHAIN,1,no
HCA.human_normal.TissueStability,normal,Spleen,JUN,1,no
HCA.human_normal.TissueStability,normal,Spleen,MTATP6P1,1,no
HCA.human_normal.TissueStability,normal,Spleen,OST4,1,no
HCA.human_normal.TissueStability,normal,Spleen,PRDX1,1,no
HCA.human_normal.TissueStability,normal,Spleen,RPL14,1,no
HCA.human_normal.TissueStability,normal,Spleen,RPL15,1,no
HCA.human_normal.TissueStability,normal,Spleen,RPL22,1,no
HCA.human_normal.TissueStability,normal,Spleen,RPL23AP42,1,no
HCA.human_normal.TissueStability,normal,Spleen,RPL24,1,no
HCA.human_normal.TissueStability,normal,Spleen,RPL35A,1,no
HCA.human_normal.TissueStability,normal,Spleen,RPL9,1,no
HCA.human_normal.TissueStability,normal,Spleen,RPS7,1,no
HCA.human_normal.TissueStability,normal,Spleen,RPSA,1,no
HCA.human_normal.TissueStability,normal,Spleen,SERP1,1,no
HCA.human_normal.TissueStability,normal,Spleen,SRSF7,1,no
HCA.human_normal.TissueStability,normal,Spleen,STMN1,1,no
HCA.human_normal.TissueStability,normal,Spleen,SUB1,1,no
HCA.human_normal.TissueStability,normal,Spleen,TMA7,1,no
HCA.human_normal.TissueStability,normal,Spleen,TMSB10,1,no
HCA.human_normal.TissueStability,normal,Spleen,UQCRH,1,no
HCA.human_normal.TissueStability,normal,Spleen,ZFP36L2,1,no
